用户股吧年龄,用户昵称,个股名称,评论标题,评论内容,发帖时间,标签,label
4.5年,股友s5hM75,保利发展(600048.sh),万科当扶不起的阿斗，保利金地，你们上,万科不配当大哥了，保利、金地，你们上呵,2018/1/31 10:01,负向,-1
7年,uyhtgfd7231,保利发展(600048.sh),保利地产：重复言说多半是一种时间上的损失。,重复言说多半是一种时间上的损失。,2017/10/24 19:48,负向,-1
10.5年,a17939310,保利发展(600048.sh),上证指数下跌0.17%深证成指下跌0.14%,炒股想赚钱必须遵守这些原则！,2017/8/14 11:48,中性,0
6.9年,中电阿派,保利发展(600048.sh),猪肉都卖到30了，你们说房价能跌吗这年头什么都在涨，所谓的专家你们想多了！,猪肉都卖到30了，你们说房价能跌吗？这年头什么都在涨，所谓的专家你们想多了！,2019/9/1 19:16,负向,-1
4.7年,股友k8TSWO3926,保利发展(600048.sh),买股票之前一定要设定止损点，以免失手时扩大损失面,买股票之前一定要设定止损点，以免失手时扩大损失面,2017/9/15 15:38,中性,0
5.1年,吴建勇4,保利发展(600048.sh),将10送10股配6后继续保持高送转潜力,将10送10股配6后继续保持高送转潜力 600739辽宁成大--每股估计实际 资产价值393.39元/股 吉林敖东年终将10转10股配6后继续保持高送转潜力 每股实际资产价值531元/股,2018/1/21 19:18,正向,1
8.8年,bluefish2013,保利发展(600048.sh),股市基础知识规则术语大全,为何你不i张？。,2018/8/8 22:50,中性,0
4.7年,股友rl73lO3530,保利发展(600048.sh),得心应手时，不可得意忘形；老手多等到，新手多无奈,得心应手时，不可得意忘形；老手多等到，新手多无奈,2017/9/17 19:24,中性,0
8.1年,平稳生存,保利发展(600048.sh),保利地产是后妈养的,保利地产是后妈养的,2017/8/22 10:55,负向,-1
5.1年,荣御011,保利发展(600048.sh),弓上弦，刀出鞘,弓上弦，刀出鞘,2018/6/19 10:52,正向,1
7.5年,rumble20147735,保利发展(600048.sh),赶紧趁着利好涨停出货，胜利大逃亡！赶紧的！,过了这村儿没这店儿！,2016/3/2 13:19,负向,-1
4.6年,不与趋努作对,保利发展(600048.sh),保利地产日，周，月，季线完美。可长线持有，目标价48.5元。,保利地产日，周，月，季线完美。可长线持有，目标价48.5元。,2018/2/2 18:29,中性,0
5年,独秀峰17858,保利发展(600048.sh),跟错了垃圾,跟错了垃圾,2019/7/17 14:49,负向,-1
6.2年,广东哀神,中国中免(601888.sh),买买买，逆市大涨,买买买，逆市大涨,2019/5/9 13:51,正向,1
4年,股友2RbK5h,保利发展(600048.sh),冲高就跑尾盘继续接回来拜神,冲高就跑 尾盘继续接回来[拜神],2018/6/14 9:35,正向,1
3.8年,有想象力之谢烟客,保利发展(600048.sh),全部都红了你还是绿油油的我昨天高点满仓后悔死了,全部都红了你还是绿油油的我昨天高点满仓后悔死了,2019/2/21 13:38,负向,-1
14.6年,并购天下0479,保利发展(600048.sh),券开户并签约成功的豪粉都有华林证券年度策,券开户并签约成功的豪粉都有华林证券年度策,2017/4/11 21:12,中性,0
4.7年,金融峰,保利发展(600048.sh),昨天在招商蛇口贴吧发帖的网友还好吗,转账保利的你还好吧。,2018/5/22 14:06,中性,0
6.8年,股市老王23434,保利发展(600048.sh),研究人士：今年大宗商品价格走强仍有支撑i,研究人士：今年大宗商品价格走强仍有支撑i,2017/9/6 5:33,正向,1
5.7年,股友csuqtb,保利发展(600048.sh),真垃圾真垃圾,真垃圾真垃圾,2018/5/29 18:31,负向,-1
3.1年,新韭菜10,保利发展(600048.sh),放量下跌，我感觉不到呼吸了,放量下跌，我感觉不到呼吸了,2019/9/2 10:23,负向,-1
6.8年,朱红芷兰7657,保利发展(600048.sh),本来想发几句牢骚,本来想发几句牢骚,2018/3/22 14:59,中性,0
5年,wyt2017,保利发展(600048.sh),今天一直阴跌到收盘,今天一直阴跌到收盘,2019/7/9 14:04,负向,-1
4.1年,欢乐海岸某某队,保利发展(600048.sh),涨了继续跌，今年行情明显不在房地产！,盈利就跑路是上策！,2018/3/29 19:05,正向,1
5.8年,天神发怒,保利发展(600048.sh),尾盘谁在砸我知道,我知道砸尾盘的不是人，红盘变绿，变绿了,2017/12/5 15:38,负向,-1
4.3年,华601313,保利发展(600048.sh),今天12个点的浮动，竟然没龙虎榜，好假,想掩饰什么呢？,2018/2/8 1:43,中性,0
7年,超槐志烈乐5029,保利发展(600048.sh),加油,[加油],2018/4/4 17:29,正向,1
9.3年,锋起云镛,保利发展(600048.sh),融资买入的又亏了,昨天融资偿还2个亿，成交才4个亿，卖出的主力就是融资盘。这些融资的人， 高位买低位卖，不知道想什么的。,2017/3/31 8:46,负向,-1
7.2年,波澜不驚,保利发展(600048.sh),中船吧看到的，24号签的，值几个钱,中船吧看到的，24号签的，值几个钱？,2019/4/25 22:47,中性,0
4.3年,初心和信心,保利发展(600048.sh),两天3研报，这频率太快了吧,两天3研报，这频率太快了吧？,2018/7/11 18:45,中性,0
4.5年,买什么跌什么za,保利发展(600048.sh),贸易战打起，下周二大盘岂不3000都不到，保利回暴跌几个点,贸易战打起，下周二大盘岂不3000都不到，保利回暴跌几个点,2018/6/16 8:39,中性,0
6.9年,别人合伙个9396,保利发展(600048.sh),手法单一，毫无看点，,手法单一，毫无看点，,2016/12/21 11:11,中性,0
4.1年,G最好的安排,保利发展(600048.sh),保利地产与吕医生连锁达成战略合作,什么都玩，已经不是纯地产公司了,2018/5/24 15:41,负向,-1
7.3年,小ghhgg,保利发展(600048.sh),股友都是一伙的,股友***，都是一伙的。股友某某，还做好标记， 有计划、、有组织就是******,2018/10/3 11:34,负向,-1
6.4年,远望高见,保利发展(600048.sh),为何保利每次拉高都一波下跌！哭哭哭,为何保利每次拉高都一波下跌！[哭][哭][哭],2017/11/22 8:42,负向,-1
7.6年,北京网友01,保利发展(600048.sh),真尿性，没有一点老大范儿,死股一个,2016/3/25 10:19,负向,-1
7.2年,maopc19875355,保利发展(600048.sh),还是卖了，不行了吧还是卖了，不行了吧,还是卖了，不行了吧,2017/4/23 20:02,负向,-1
3.8年,股友0uXDkV0565,保利发展(600048.sh),2016年也是利空不断，调控不断,2016年也是利空不断，调控不断,2018/7/19 19:03,负向,-1
5.2年,股友8osfBw1178,保利发展(600048.sh),可惜卖了17.10，还好中了养元,可惜卖了17.10，还好中了养元,2018/2/2 16:06,中性,0
7.7年,jrj200710699106,保利发展(600048.sh),股价会跌到你都想不到1块钱,股价会跌到你都想不到1块钱,2018/7/5 13:39,负向,-1
6.6年,看散户就知道涨不,保利发展(600048.sh),小散卖的真多,小散卖的真多,2018/1/9 9:54,中性,0
5.7年,屯前霞步95229733,保利发展(600048.sh),北风一阵阵，吹来寒意,降温一次次，降下冰冷，提醒一遍遍，多多添衣，关怀一句句，送你温暖，联系一次次，增加情谊，祝福一次次，爱护自己，短信一条条，全送给你，劝慰就一句,2016/9/12 21:18,负向,-1
5.1年,股友Zvexmz,航发动力(600893.sh),问中国制造2025专栏5中，航空发动机和燃气轮机。。。。，到2020年，上述领域实现自主研制及应用。请展望下公司能达到什么水平，燃气轮机什么时候有收入,问】中国制造2025专栏5中，航空发动机和燃气轮机。。。。，到2020年，上述领域实现自主研制及应用。请展望下公司能达到什么水平，燃气轮机什么时候有收入？,2018/4/20 16:03,中性,0
15.1年,东方财绅,航发动力(600893.sh),航发动力只做第一，永远的倒数第一,说实话，持有893的股民蛮可怜的。,2019/3/29 14:03,负向,-1
6.7年,股友2WJRc97532,航发动力(600893.sh),弃呢。,弃呢？。,2017/10/25 1:25,负向,-1
5.1年,xin65,航发动力(600893.sh),老鳖一,老鳖一,2018/6/9 8:48,负向,-1
8.1年,英之,航发动力(600893.sh),垃圾动力，天天跌！不要脸，怪不得永远做不出好产品！,垃圾动力，天天跌！不要脸，怪不得永远做不出好产品！,2018/8/8 13:23,负向,-1
9.1年,n960513681861604,航发动力(600893.sh),有个心理准备，估计还有3个月下跌或横盘时间,牛2吃的好！！！,2018/11/20 23:52,负向,-1
7年,淡淡的走,航发动力(600893.sh),是不是硬下了想一下,是不是硬下了？[想一下],2016/2/19 9:17,正向,1
7.2年,高有高的乐4286,航发动力(600893.sh),我今天买入的中航动力！,大盘趋势】 我们依然认为今年大盘的趋势是2600-3200之间运行。大盘反弹的时间是上半年，6-7月份，历史上每逢这个时间段，市场会有资金面转紧缺的现象出现，因此会有回落概率。  操作建议】  中航动力 该股今天跳空，留下一个缺口，短线可能有调整，如果仓位不重可以等调整结束加...,2016/3/3 20:14,正向,1
7.5年,泽西有点爽,航发动力(600893.sh),大盘可能见底了！,券商板块，调仓换骨的最好机会，抓好机会，上海,2017/7/12 5:04,正向,1
7.1年,ly639,航发动力(600893.sh),28号确定挂牌,发动机公司挂牌连拖二次，看来这次真要出炉了，坊间传闻力度超预期，可能将航天，船舶，兵器所有发动机装入，恭喜所有持股的朋友,2016/1/27 15:00,正向,1
9.7年,冲冲1974,航发动力(600893.sh),空狗们，周一别操底，周二，三，四五，别进，三月到十二月别看，明年到有生之年都别来,空狗们，周一别操底，周二，三，四五，别进，三月到十二月别看，明年到有生之年都别来，永远看空，远离股市，A股才有生机！！！！,2016/2/13 10:44,中性,0
7.1年,巴山夜雨1uxsfz,航发动力(600893.sh),中国潜艇新突破首台艇用永磁推进电机动车成功,10月8日，整个分系统功能基本恢复；10月16日晚，完成静态报检，永磁推进电机具备了动车条件；10月18日上午11点，螺旋桨缓缓运转，逐渐达到规定转速，永磁推进电机动车成功——这标志着我国首台拥有完全自主知识产权的艇用永磁推进电机动车成功。  　　据悉，永磁电机可有效降低潜艇噪音...,2017/10/24 21:03,中性,0
4.9年,股友g5xLrB,航发动力(600893.sh),八一前,八一前,2017/7/28 3:42,中性,0
6.5年,行云流水20063302,航发动力(600893.sh),请问高手们，这批7月份的定增解禁股，定增价格是多少,请问高手们，这批7月份的定增解禁股，定增价格是多少？,2017/5/17 9:29,中性,0
4.8年,木柄短剑,航发动力(600893.sh),会计科有，力学，热学，材料学，声学，化学,会计科有，力学，热学，材料学，声学，化学,2019/6/11 13:58,中性,0
10.2年,孙老庄,航发动力(600893.sh),现在是牛市，牛市怎么能少的了航发动力,现在是牛市，牛市怎么能少的了航发动力？,2017/9/14 5:56,正向,1
5.1年,微风心仪,航发动力(600893.sh),市场短期风格偏好的适时调整,市场短期风格偏好的适时调整,2018/8/31 23:22,中性,0
10.3年,柳暗花明新天地,航发动力(600893.sh),航发几乎一两年没涨。散户买完不看最好，等到年底。难不成航发还会拆了国家飞机事业的台,天天看盘，难免被波动乱了情绪,2017/5/10 13:41,负向,-1
8.5年,好运连连168888,航发动力(600893.sh),我的五百万没出，耽误大家的美梦啦！,我的五百万没出，耽误大家的美梦啦！,2017/8/21 13:46,中性,0
7.6年,风三子,航发动力(600893.sh),为什么动力不公布股东人数，而动控和成发都公布股东人数！,为什么动力不公布股东人数，而动控和成发都公布股东人数？！,2016/4/7 20:33,中性,0
7.4年,依旧真我风采,航发动力(600893.sh),在不上去我要加仓了，你跟我比持有时间，我跟你比持仓成本，我瞄准的是参与定增的可怜,在不上去我要加仓了，你跟我比持有时间，我跟你比持仓成本，我瞄准的是参与定增的可怜虫。鄙视那些做空国之重器的人！！！！,2019/11/19 18:27,正向,1
8年,顺流或逆流,航发动力(600893.sh),公告来喽，30条，还没看，先庆贺下,希望有好消息,2019/7/19 20:26,正向,1
7.1年,许荣剑946872916133,航发动力(600893.sh),今天已经12日了。复盘看完大部分股票，不知不觉，已经12日了，红利拿到，还没扣税,今天已经12日了。复盘看完大部分股票，不知不觉，已经12日了，红利拿到，还没扣税?,2016/7/12 5:23,正向,1
7.8年,幸福工程兵,航发动力(600893.sh),还是那句话：越涨越卖,还是那句话：越涨越卖,2017/8/3 15:10,正向,1
7.7年,拈股修行,航发动力(600893.sh),发动机疲软，军工怎么可能飞翔不屑,发动机疲软，军工怎么可能飞翔[不屑],2017/8/25 10:11,负向,-1
8.7年,股友1hJlm8,航发动力(600893.sh),主力继续卖吧,主力继续卖吧,2018/4/27 13:47,负向,-1
7.3年,无锡华乐,航发动力(600893.sh),别人都反弹，我们继续跌，服！,别人都反弹，我们继续跌，服！,2017/5/26 13:42,负向,-1
6.8年,熊熊 1203,航发动力(600893.sh),估计国产飞机坠机了,估计国产飞机坠机了,2017/5/11 13:26,负向,-1
8.6年,老兵新专,航发动力(600893.sh),要退市了,要退市了？,2019/9/12 11:21,负向,-1
11.2年,股市中的捡钱人,航发动力(600893.sh),马丁股价270美元一股，航发动力可以上150美元！,也就是1000元一股,2017/6/21 22:30,正向,1
5.1年,股友hTeo5w,航发动力(600893.sh),未来航发资本有机会上市吗还是会借壳上市把航发集团现,未来航发资本有机会上市吗 还是会借壳上市 把 航发集团现有业务合并 留出一个壳 有 有资深股友 来说说可能性,2018/2/5 23:15,中性,0
8.4年,和谐社会的春天,航发动力(600893.sh),多年渴望终于到来了,中国航发集团公司终于在8月28日成立，无疑是中央要富国强军的重大举措，对股民来说盼望多年心头大事也算是从此落地了，是否开花开大朵花，那就要看国家能否对发动机产品的价格应如何认可的问题了。股民们视目以待。[鼓掌][鼓掌],2016/8/28 20:33,正向,1
6.4年,富贵恒9784,航发动力(600893.sh),白云集团增发价18元多，底部放量上涨，此股必上20元，建议买入。,白云集团增发价18元多，底部放量上涨，此股必上20元，建议买入。,2018/7/18 9:29,正向,1
8.9年,沪A18618286838,航发动力(600893.sh),进可以攻，据可以守,送君千里，终须一别,2018/7/11 14:00,正向,1
4.6年,股友ltFGJZ,航发动力(600893.sh),C沪指连续三日上涨，锂电池。次新股活跃。,R沪指连续三日上涨，锂电池。次新股活跃。 淘股神股票合买报道，周二，沪深两市各大股指虽然集体窄幅震荡，但上证综指，深证成指、中小板指及创业板指盘中均创出本轮反弹新高。Y,2017/10/26 16:02,中性,0
13.8年,牛犊收割机,航发动力(600893.sh),赚了钱说自己有本事，赔了钱找自己有情怀。炒股就是愿赌服输。,赚了钱说自己有本事，赔了钱找自己有情怀。炒股就是愿赌服输。,2019/11/14 10:39,负向,-1
